,address_type,agency,agency_name,bbl,borough,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,status,street_name,unique_key,x_coordinate_state_plane,y_coordinate_state_plane,created_time,lonlat,geometry
75,ADDRESS,NYPD,New York City Police Department,1019070001,MANHATTAN,NEW YORK,2015-05-08T21:27:23.000,10 MANHATTAN,Urinating in Public,2015-05-08 21:00:46,WEST 122 STREET,WEST 123 STREET,N/A,2015-05-09T05:00:46.000,Precinct,2041 7 AVENUE,10027,,,,40.8071292733,"{u'type': u'Point', u'coordinates': [-73.9496595887, 40.80712927333]}",Store/Commercial,-73.9496595887,PHONE,MANHATTAN,Unspecified,2015-05-08T21:27:23.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,7 AVENUE,30574854,998186,233340,21:00:46,"(-73.94965958870036, 40.807129273329735)",POINT (-73.94965958870036 40.80712927332974)
76,ADDRESS,NYPD,New York City Police Department,1019070001,MANHATTAN,NEW YORK,2015-05-08T21:20:55.000,10 MANHATTAN,Urinating in Public,2015-05-08 20:40:02,WEST 122 STREET,WEST 123 STREET,N/A,2015-05-09T04:40:02.000,Precinct,2041 7 AVENUE,10027,,,,40.8071292733,"{u'type': u'Point', u'coordinates': [-73.9496595887, 40.80712927333]}",Club/Bar/Restaurant,-73.9496595887,PHONE,MANHATTAN,Unspecified,2015-05-08T21:20:55.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,7 AVENUE,30579086,998186,233340,20:40:02,"(-73.94965958870036, 40.807129273329735)",POINT (-73.94965958870036 40.80712927332974)
77,ADDRESS,NYPD,New York City Police Department,1005620014,MANHATTAN,NEW YORK,2015-05-17T23:41:55.000,02 MANHATTAN,Urinating in Public,2015-05-17 21:47:39,UNIVERSITY PLACE,BROADWAY,N/A,2015-05-18T05:47:39.000,Precinct,60 EAST 11 STREET,10003,,,,40.732949713,"{u'type': u'Point', u'coordinates': [-73.99249487048, 40.732949712955]}",Street/Sidewalk,-73.9924948705,PHONE,MANHATTAN,Unspecified,2015-05-17T23:41:55.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,EAST 11 STREET,30641052,986330,206310,21:47:39,"(-73.99249487047955, 40.732949712955076)",POINT (-73.99249487047955 40.73294971295508)
78,ADDRESS,NYPD,New York City Police Department,1020457504,MANHATTAN,NEW YORK,2015-05-20T03:18:23.000,10 MANHATTAN,Urinating in Public,2015-05-19 22:09:21,8 AVENUE,BRADHURST AVENUE,N/A,2015-05-20T06:09:21.000,Precinct,303 WEST 149 STREET,10039,,,,40.8254732386,"{u'type': u'Point', u'coordinates': [-73.940254865915, 40.825473238648]}",Street/Sidewalk,-73.9402548659,PHONE,MANHATTAN,Unspecified,2015-05-20T03:18:23.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,WEST 149 STREET,30657659,1000785,240025,22:09:21,"(-73.94025486591501, 40.82547323864774)",POINT (-73.94025486591501 40.82547323864774)
79,ADDRESS,NYPD,New York City Police Department,1019070001,MANHATTAN,NEW YORK,2015-05-21T21:56:25.000,10 MANHATTAN,Urinating in Public,2015-05-21 20:02:48,WEST 122 STREET,WEST 123 STREET,N/A,2015-05-22T04:02:48.000,Precinct,2041 7 AVENUE,10027,,,,40.8071292733,"{u'type': u'Point', u'coordinates': [-73.9496595887, 40.80712927333]}",Store/Commercial,-73.9496595887,PHONE,MANHATTAN,Unspecified,2015-05-21T21:56:25.000,The Police Department issued a summons in response to the complaint.,Closed,7 AVENUE,30667089,998186,233340,20:02:48,"(-73.94965958870036, 40.807129273329735)",POINT (-73.94965958870036 40.80712927332974)
80,ADDRESS,NYPD,New York City Police Department,1019070001,MANHATTAN,NEW YORK,2015-05-22T21:18:39.000,10 MANHATTAN,Urinating in Public,2015-05-22 20:21:31,WEST 122 STREET,WEST 123 STREET,N/A,2015-05-23T04:21:31.000,Precinct,2041 7 AVENUE,10027,,,,40.8071292733,"{u'type': u'Point', u'coordinates': [-73.9496595887, 40.80712927333]}",Street/Sidewalk,-73.9496595887,PHONE,MANHATTAN,Unspecified,2015-05-22T21:18:39.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,7 AVENUE,30678061,998186,233340,20:21:31,"(-73.94965958870036, 40.807129273329735)",POINT (-73.94965958870036 40.80712927332974)
81,ADDRESS,NYPD,New York City Police Department,1019070001,MANHATTAN,NEW YORK,2015-05-23T23:14:08.000,10 MANHATTAN,Urinating in Public,2015-05-23 22:14:01,WEST 122 STREET,WEST 123 STREET,N/A,2015-05-24T06:14:01.000,Precinct,2041 7 AVENUE,10027,,,,40.8071292733,"{u'type': u'Point', u'coordinates': [-73.9496595887, 40.80712927333]}",Street/Sidewalk,-73.9496595887,PHONE,MANHATTAN,Unspecified,2015-05-23T23:14:08.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,7 AVENUE,30683661,998186,233340,22:14:01,"(-73.94965958870036, 40.807129273329735)",POINT (-73.94965958870036 40.80712927332974)
82,ADDRESS,NYPD,New York City Police Department,1012140059,MANHATTAN,NEW YORK,2015-05-23T22:13:26.000,07 MANHATTAN,Urinating in Public,2015-05-23 21:07:49,COLUMBUS AVENUE,AMSTERDAM AVENUE,N/A,2015-05-24T05:07:49.000,Precinct,158 WEST 84 STREET,10024,,,,40.7861404791,"{u'type': u'Point', u'coordinates': [-73.975458842317, 40.786140479124]}",Residential Building/House,-73.9754588423,PHONE,MANHATTAN,Unspecified,2015-05-23T22:13:26.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,WEST 84 STREET,30685012,991046,225690,21:07:49,"(-73.9754588423166, 40.786140479123794)",POINT (-73.9754588423166 40.78614047912379)
83,ADDRESS,NYPD,New York City Police Department,1017250005,MANHATTAN,NEW YORK,2015-06-18T21:35:41.000,10 MANHATTAN,Urinating in Public,2015-06-18 20:30:19,5 AVENUE,LENOX AVENUE,N/A,2015-06-19T04:30:19.000,Precinct,79 WEST 127 STREET,10027,,,,40.8086579908,"{u'type': u'Point', u'coordinates': [-73.943531903359, 40.808657990765]}",Residential Building/House,-73.9435319034,PHONE,MANHATTAN,Unspecified,2015-06-18T21:35:41.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,WEST 127 STREET,30884860,999882,233898,20:30:19,"(-73.94353190335941, 40.80865799076518)",POINT (-73.94353190335941 40.80865799076518)
84,ADDRESS,NYPD,New York City Police Department,1019070001,MANHATTAN,NEW YORK,2015-06-19T22:32:47.000,10 MANHATTAN,Urinating in Public,2015-06-19 22:00:57,WEST 122 STREET,WEST 123 STREET,N/A,2015-06-20T06:00:57.000,Precinct,2041 7 AVENUE,10027,,,,40.8071292733,"{u'type': u'Point', u'coordinates': [-73.9496595887, 40.80712927333]}",Residential Building/House,-73.9496595887,PHONE,MANHATTAN,Unspecified,2015-06-19T22:32:47.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,7 AVENUE,30887685,998186,233340,22:00:57,"(-73.94965958870036, 40.807129273329735)",POINT (-73.94965958870036 40.80712927332974)
85,ADDRESS,NYPD,New York City Police Department,1013830061,MANHATTAN,NEW YORK,2015-06-23T22:43:19.000,08 MANHATTAN,Urinating in Public,2015-06-23 21:03:34,5 AVENUE,MADISON AVENUE,N/A,2015-06-24T05:03:34.000,Precinct,14 EAST 69 STREET,10021,,,,40.7700955149,"{u'type': u'Point', u'coordinates': [-73.967464445156, 40.770095514906]}",Store/Commercial,-73.9674644452,PHONE,MANHATTAN,Unspecified,2015-06-23T22:43:19.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,EAST 69 STREET,30917803,993262,219845,21:03:34,"(-73.96746444515598, 40.77009551490645)",POINT (-73.96746444515598 40.77009551490645)
86,ADDRESS,NYPD,New York City Police Department,1019070001,MANHATTAN,NEW YORK,2015-06-24T21:12:07.000,10 MANHATTAN,Urinating in Public,2015-06-24 20:55:07,WEST 122 STREET,WEST 123 STREET,N/A,2015-06-25T04:55:07.000,Precinct,2041 7 AVENUE,10027,,,,40.8071292733,"{u'type': u'Point', u'coordinates': [-73.9496595887, 40.80712927333]}",Store/Commercial,-73.9496595887,PHONE,MANHATTAN,Unspecified,2015-06-24T21:12:07.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,7 AVENUE,30929343,998186,233340,20:55:07,"(-73.94965958870036, 40.807129273329735)",POINT (-73.94965958870036 40.80712927332974)
87,ADDRESS,NYPD,New York City Police Department,1019070001,MANHATTAN,NEW YORK,2015-06-24T20:59:09.000,10 MANHATTAN,Urinating in Public,2015-06-24 20:40:02,WEST 122 STREET,WEST 123 STREET,N/A,2015-06-25T04:40:02.000,Precinct,2041 7 AVENUE,10027,,,,40.8071292733,"{u'type': u'Point', u'coordinates': [-73.9496595887, 40.80712927333]}",Street/Sidewalk,-73.9496595887,PHONE,MANHATTAN,Unspecified,2015-06-24T20:59:09.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,7 AVENUE,30930740,998186,233340,20:40:02,"(-73.94965958870036, 40.807129273329735)",POINT (-73.94965958870036 40.80712927332974)
88,BLOCKFACE,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2015-06-29T04:04:18.000,01 MANHATTAN,Urinating in Public,2015-06-28 22:22:35,VESTRY STREET,DESBROSSES STREET,N/A,2015-06-29T06:22:35.000,Precinct,WASHINGTON STREET,10013,,,,40.7231863906,"{u'type': u'Point', u'coordinates': [-74.010397410846, 40.723186390567]}",Street/Sidewalk,-74.0103974108,PHONE,MANHATTAN,Unspecified,2015-06-29T04:04:18.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,WASHINGTON STREET,30956439,981368,202753,22:22:35,"(-74.01039741084625, 40.723186390567164)",POINT (-74.01039741084625 40.72318639056716)
89,ADDRESS,NYPD,New York City Police Department,1019070001,MANHATTAN,NEW YORK,2015-07-11T22:11:45.000,10 MANHATTAN,Urinating in Public,2015-07-11 21:11:34,WEST 122 STREET,WEST 123 STREET,N/A,2015-07-12T05:11:34.000,Precinct,2041 7 AVENUE,10027,,,,40.8071292733,"{u'type': u'Point', u'coordinates': [-73.9496595887, 40.80712927333]}",Street/Sidewalk,-73.9496595887,PHONE,MANHATTAN,Unspecified,2015-07-11T22:11:45.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,7 AVENUE,31053641,998186,233340,21:11:34,"(-73.94965958870036, 40.807129273329735)",POINT (-73.94965958870036 40.80712927332974)
90,ADDRESS,NYPD,New York City Police Department,1019070001,MANHATTAN,NEW YORK,2015-07-11T20:50:57.000,10 MANHATTAN,Urinating in Public,2015-07-11 20:40:22,WEST 122 STREET,WEST 123 STREET,N/A,2015-07-12T04:40:22.000,Precinct,2041 7 AVENUE,10027,,,,40.8071292733,"{u'type': u'Point', u'coordinates': [-73.9496595887, 40.80712927333]}",Store/Commercial,-73.9496595887,PHONE,MANHATTAN,Unspecified,2015-07-11T20:50:57.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,7 AVENUE,31057285,998186,233340,20:40:22,"(-73.94965958870036, 40.807129273329735)",POINT (-73.94965958870036 40.80712927332974)
91,ADDRESS,NYPD,New York City Police Department,1011990055,MANHATTAN,NEW YORK,2015-07-16T03:50:16.000,07 MANHATTAN,Urinating in Public,2015-07-16 00:37:02,CENTRAL PARK WEST,COLUMBUS AVENUE,N/A,2015-07-16T08:37:02.000,Precinct,40 WEST 86 STREET,10024,,,,40.785796238,"{u'type': u'Point', u'coordinates': [-73.970551485091, 40.785796238016]}",Street/Sidewalk,-73.9705514851,PHONE,MANHATTAN,Unspecified,2015-07-16T03:50:16.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,WEST 86 STREET,31087225,992405,225565,00:37:02,"(-73.97055148509106, 40.785796238015685)",POINT (-73.97055148509106 40.78579623801568)
92,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2015-07-15T23:22:12.000,08 MANHATTAN,Urinating in Public,2015-07-15 22:25:08,,,N/A,2015-07-16T06:25:08.000,Precinct,,10075,EAST   80 STREET,MADISON AVENUE,,40.7770022263,"{u'type': u'Point', u'coordinates': [-73.961629914986, 40.777002226278]}",Street/Sidewalk,-73.961629915,PHONE,MANHATTAN,Unspecified,2015-07-15T23:22:12.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,,31088295,994877,222362,22:25:08,"(-73.96162991498635, 40.77700222627826)",POINT (-73.96162991498635 40.77700222627826)
93,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2015-07-18T20:48:18.000,04 MANHATTAN,Urinating in Public,2015-07-18 20:37:10,,,N/A,2015-07-19T04:37:10.000,Precinct,,10036,WEST   42 STREET,10 AVENUE,,40.7596260852,"{u'type': u'Point', u'coordinates': [-73.995473460726, 40.759626085208]}",Street/Sidewalk,-73.9954734607,PHONE,MANHATTAN,Unspecified,2015-07-18T20:48:18.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,,31105131,985504,216029,20:37:10,"(-73.99547346072606, 40.75962608520787)",POINT (-73.99547346072606 40.75962608520787)
94,ADDRESS,NYPD,New York City Police Department,1006430057,MANHATTAN,NEW YORK,2015-07-18T10:06:25.000,02 MANHATTAN,Urinating in Public,2015-07-18 02:33:50,HORATIO STREET,9 AVENUE,N/A,2015-07-18T10:33:50.000,Precinct,838 GREENWICH STREET,10014,,,,40.7390486174,"{u'type': u'Point', u'coordinates': [-74.006466549608, 40.739048617389]}",Residential Building/House,-74.0064665496,PHONE,MANHATTAN,Unspecified,2015-07-18T10:06:25.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,GREENWICH STREET,31105798,982458,208532,02:33:50,"(-74.00646654960772, 40.739048617388654)",POINT (-74.00646654960772 40.73904861738865)
95,ADDRESS,NYPD,New York City Police Department,1019070104,MANHATTAN,NEW YORK,2015-07-23T23:04:02.000,10 MANHATTAN,Urinating in Public,2015-07-23 22:37:18,LENOX AVENUE,7 AVENUE,N/A,2015-07-24T06:37:18.000,Precinct,165 WEST 122 STREET,10027,,,,40.8065578942,"{u'type': u'Point', u'coordinates': [-73.948579965197, 40.806557894164]}",Street/Sidewalk,-73.9485799652,PHONE,MANHATTAN,Unspecified,2015-07-23T23:04:02.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,WEST 122 STREET,31150253,998485,233132,22:37:18,"(-73.94857996519718, 40.80655789416365)",POINT (-73.94857996519718 40.80655789416365)
96,ADDRESS,NYPD,New York City Police Department,1019070001,MANHATTAN,NEW YORK,2015-07-25T01:31:43.000,10 MANHATTAN,Urinating in Public,2015-07-24 23:44:08,WEST 122 STREET,WEST 123 STREET,N/A,2015-07-25T07:44:08.000,Precinct,2041 7 AVENUE,10027,,,,40.8071292733,"{u'type': u'Point', u'coordinates': [-73.9496595887, 40.80712927333]}",Street/Sidewalk,-73.9496595887,PHONE,MANHATTAN,Unspecified,2015-07-25T01:31:43.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,7 AVENUE,31153714,998186,233340,23:44:08,"(-73.94965958870036, 40.807129273329735)",POINT (-73.94965958870036 40.80712927332974)
97,ADDRESS,NYPD,New York City Police Department,1019070001,MANHATTAN,NEW YORK,2015-07-29T23:21:00.000,10 MANHATTAN,Urinating in Public,2015-07-29 21:02:03,WEST 122 STREET,WEST 123 STREET,N/A,2015-07-30T05:02:03.000,Precinct,2041 7 AVENUE,10027,,,,40.8071292733,"{u'type': u'Point', u'coordinates': [-73.9496595887, 40.80712927333]}",Store/Commercial,-73.9496595887,PHONE,MANHATTAN,Unspecified,2015-07-29T23:21:00.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,7 AVENUE,31188531,998186,233340,21:02:03,"(-73.94965958870036, 40.807129273329735)",POINT (-73.94965958870036 40.80712927332974)
98,ADDRESS,NYPD,New York City Police Department,1016280167,MANHATTAN,NEW YORK,2015-08-03T04:03:41.000,11 MANHATTAN,Urinating in Public,2015-08-03 03:27:06,PARK AVENUE,LEXINGTON AVENUE,N/A,2015-08-03T11:27:06.000,Precinct,114 EAST 101 STREET,10029,,,,40.7894531858,"{u'type': u'Point', u'coordinates': [-73.949571837586, 40.789453185803]}",Street/Sidewalk,-73.9495718376,PHONE,MANHATTAN,Unspecified,2015-08-03T04:03:41.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,EAST 101 STREET,31228133,998214,226900,03:27:06,"(-73.94957183758578, 40.789453185803204)",POINT (-73.94957183758578 40.7894531858032)
99,ADDRESS,NYPD,New York City Police Department,1019070001,MANHATTAN,NEW YORK,2015-08-03T21:49:08.000,10 MANHATTAN,Urinating in Public,2015-08-03 20:23:01,WEST 122 STREET,WEST 123 STREET,N/A,2015-08-04T04:23:01.000,Precinct,2041 7 AVENUE,10027,,,,40.8071292733,"{u'type': u'Point', u'coordinates': [-73.9496595887, 40.80712927333]}",Street/Sidewalk,-73.9496595887,PHONE,MANHATTAN,Unspecified,2015-08-03T21:49:08.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,7 AVENUE,31231289,998186,233340,20:23:01,"(-73.94965958870036, 40.807129273329735)",POINT (-73.94965958870036 40.80712927332974)
100,ADDRESS,NYPD,New York City Police Department,1019070001,MANHATTAN,NEW YORK,2015-08-08T07:28:47.000,10 MANHATTAN,Urinating in Public,2015-08-07 22:06:47,WEST 122 STREET,WEST 123 STREET,N/A,2015-08-08T06:06:47.000,Precinct,2041 7 AVENUE,10027,,,,40.8071292733,"{u'type': u'Point', u'coordinates': [-73.9496595887, 40.80712927333]}",Street/Sidewalk,-73.9496595887,PHONE,MANHATTAN,Unspecified,2015-08-08T07:28:47.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,7 AVENUE,31260323,998186,233340,22:06:47,"(-73.94965958870036, 40.807129273329735)",POINT (-73.94965958870036 40.80712927332974)
101,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2015-08-10T21:25:11.000,05 MANHATTAN,Urinating in Public,2015-08-10 20:53:22,,,N/A,2015-08-11T04:53:22.000,Precinct,,10017,LEXINGTON AVENUE,EAST   42 STREET,,40.7514415978,"{u'type': u'Point', u'coordinates': [-73.976049103296, 40.751441597785]}",Street/Sidewalk,-73.9760491033,PHONE,MANHATTAN,Unspecified,2015-08-10T21:25:11.000,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,,31277454,990886,213048,20:53:22,"(-73.97604910329608, 40.75144159778515)",POINT (-73.97604910329608 40.75144159778515)
102,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2015-08-12T22:07:54.000,05 MANHATTAN,Urinating in Public,2015-08-12 21:52:44,,,N/A,2015-08-13T05:52:44.000,Precinct,,10001,WEST   28 STREET,7 AVENUE,,40.7472361978,"{u'type': u'Point', u'coordinates': [-73.993359423218, 40.747236197829]}",Subway Station,-73.9933594232,PHONE,MANHATTAN,Unspecified,2015-08-12T22:07:54.000,The Police Department reviewed your complaint and provided additional information below.,Closed,,31300365,986090,211515,21:52:44,"(-73.99335942321805, 40.74723619782853)",POINT (-73.99335942321805 40.74723619782853)
103,ADDRESS,NYPD,New York City Police Department,1019070104,MANHATTAN,NEW YORK,2015-08-14T21:34:50.000,10 MANHATTAN,Urinating in Public,2015-08-14 21:01:50,LENOX AVENUE,7 AVENUE,N/A,2015-08-15T05:01:50.000,Precinct,165 WEST 122 STREET,10027,,,,40.8065578942,"{u'type': u'Point', u'coordinates': [-73.948579965197, 40.806557894164]}",Residential Building/House,-73.9485799652,PHONE,MANHATTAN,Unspecified,2015-08-14T21:34:50.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,WEST 122 STREET,31309026,998485,233132,21:01:50,"(-73.94857996519718, 40.80655789416365)",POINT (-73.94857996519718 40.80655789416365)
104,ADDRESS,NYPD,New York City Police Department,1019070001,MANHATTAN,NEW YORK,2015-08-22T01:21:54.000,10 MANHATTAN,Urinating in Public,2015-08-22 00:10:37,WEST 122 STREET,WEST 123 STREET,N/A,2015-08-22T08:10:37.000,Precinct,2041 7 AVENUE,10027,,,,40.8071292733,"{u'type': u'Point', u'coordinates': [-73.9496595887, 40.80712927333]}",Club/Bar/Restaurant,-73.9496595887,PHONE,MANHATTAN,Unspecified,2015-08-22T01:21:55.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,7 AVENUE,31359938,998186,233340,00:10:37,"(-73.94965958870036, 40.807129273329735)",POINT (-73.94965958870036 40.80712927332974)
105,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2015-08-24T23:01:52.000,05 MANHATTAN,Urinating in Public,2015-08-24 22:05:07,,,N/A,2015-08-25T06:05:07.000,Precinct,,10019,7 AVENUE,WEST   58 STREET,,40.7661980168,"{u'type': u'Point', u'coordinates': [-73.979545532269, 40.766198016774]}",Residential Building/House,-73.9795455323,PHONE,MANHATTAN,Unspecified,2015-08-24T23:01:52.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,,31381861,989916,218424,22:05:07,"(-73.97954553226921, 40.76619801677359)",POINT (-73.97954553226921 40.76619801677359)
106,BLOCKFACE,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2015-08-24T22:04:41.000,10 MANHATTAN,Urinating in Public,2015-08-24 20:59:45,MT MORRIS PARK WEST,MALCOLM X BOULEVARD,N/A,2015-08-25T04:59:45.000,Precinct,WEST 121 STREET,10027,,,,40.804846976,"{u'type': u'Point', u'coordinates': [-73.946482637385, 40.80484697596]}",Street/Sidewalk,-73.9464826374,PHONE,MANHATTAN,Unspecified,2015-08-24T22:04:41.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,WEST 121 STREET,31384805,999066,232509,20:59:45,"(-73.94648263738505, 40.804846975959826)",POINT (-73.94648263738505 40.80484697595983)
107,ADDRESS,NYPD,New York City Police Department,1014090008,MANHATTAN,NEW YORK,2015-08-25T23:19:55.000,08 MANHATTAN,Urinating in Public,2015-08-25 22:36:32,PARK AVENUE,LEXINGTON AVENUE,N/A,2015-08-26T06:36:32.000,Precinct,119 EAST 74 STREET,10021,,,,40.7720947803,"{u'type': u'Point', u'coordinates': [-73.962069595668, 40.772094780271]}",Store/Commercial,-73.9620695957,PHONE,MANHATTAN,Unspecified,2015-08-25T23:19:55.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,EAST 74 STREET,31392768,994756,220574,22:36:32,"(-73.96206959566798, 40.77209478027056)",POINT (-73.96206959566798 40.77209478027056)
108,ADDRESS,NYPD,New York City Police Department,1017200122,MANHATTAN,NEW YORK,2015-08-27T21:33:29.000,10 MANHATTAN,Urinating in Public,2015-08-26 23:34:26,MT MORRIS PARK WEST,LENOX AVENUE,N/A,2015-08-27T07:34:26.000,Precinct,6 WEST 121 STREET,10027,,,,40.8046271638,"{u'type': u'Point', u'coordinates': [-73.945980729226, 40.804627163831]}",Street/Sidewalk,-73.9459807292,PHONE,MANHATTAN,Unspecified,2015-08-27T21:33:29.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,WEST 121 STREET,31395904,999205,232429,23:34:26,"(-73.94598072922571, 40.80462716383138)",POINT (-73.94598072922571 40.80462716383138)
109,ADDRESS,NYPD,New York City Police Department,1019070001,MANHATTAN,NEW YORK,2015-08-28T22:47:17.000,10 MANHATTAN,Urinating in Public,2015-08-28 20:45:37,WEST 122 STREET,WEST 123 STREET,N/A,2015-08-29T04:45:37.000,Precinct,2041 7 AVENUE,10027,,,,40.8071292733,"{u'type': u'Point', u'coordinates': [-73.9496595887, 40.80712927333]}",Store/Commercial,-73.9496595887,PHONE,MANHATTAN,Unspecified,2015-08-28T22:47:17.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,7 AVENUE,31414144,998186,233340,20:45:37,"(-73.94965958870036, 40.807129273329735)",POINT (-73.94965958870036 40.80712927332974)
110,ADDRESS,NYPD,New York City Police Department,1019070001,MANHATTAN,NEW YORK,2015-09-03T21:36:43.000,10 MANHATTAN,Urinating in Public,2015-09-03 20:26:17,WEST 122 STREET,WEST 123 STREET,N/A,2015-09-04T04:26:17.000,Precinct,2041 7 AVENUE,10027,,,,40.8071292733,"{u'type': u'Point', u'coordinates': [-73.9496595887, 40.80712927333]}",Store/Commercial,-73.9496595887,PHONE,MANHATTAN,Unspecified,2015-09-03T21:36:43.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,7 AVENUE,31457601,998186,233340,20:26:17,"(-73.94965958870036, 40.807129273329735)",POINT (-73.94965958870036 40.80712927332974)
111,ADDRESS,NYPD,New York City Police Department,1019070001,MANHATTAN,NEW YORK,2015-09-04T22:06:54.000,10 MANHATTAN,Urinating in Public,2015-09-04 21:02:33,WEST 122 STREET,WEST 123 STREET,N/A,2015-09-05T05:02:33.000,Precinct,2041 7 AVENUE,10027,,,,40.8071292733,"{u'type': u'Point', u'coordinates': [-73.9496595887, 40.80712927333]}",Store/Commercial,-73.9496595887,PHONE,MANHATTAN,Unspecified,2015-09-04T22:06:54.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,7 AVENUE,31460449,998186,233340,21:02:33,"(-73.94965958870036, 40.807129273329735)",POINT (-73.94965958870036 40.80712927332974)
112,ADDRESS,NYPD,New York City Police Department,1019070001,MANHATTAN,NEW YORK,2015-09-04T22:06:55.000,10 MANHATTAN,Urinating in Public,2015-09-04 20:43:28,WEST 122 STREET,WEST 123 STREET,N/A,2015-09-05T04:43:28.000,Precinct,2041 7 AVENUE,10027,,,,40.8071292733,"{u'type': u'Point', u'coordinates': [-73.9496595887, 40.80712927333]}",Street/Sidewalk,-73.9496595887,PHONE,MANHATTAN,Unspecified,2015-09-04T22:06:55.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,7 AVENUE,31462768,998186,233340,20:43:28,"(-73.94965958870036, 40.807129273329735)",POINT (-73.94965958870036 40.80712927332974)
113,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2015-09-04T22:06:53.000,10 MANHATTAN,Urinating in Public,2015-09-04 20:24:09,,,N/A,2015-09-05T04:24:09.000,Precinct,,10027,WEST  122 STREET,7 AVENUE,,40.8070387321,"{u'type': u'Point', u'coordinates': [-73.94973912673, 40.807038732132]}",Street/Sidewalk,-73.9497391267,PHONE,MANHATTAN,Unspecified,2015-09-04T22:06:53.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,,31464305,998164,233307,20:24:09,"(-73.94973912672957, 40.80703873213202)",POINT (-73.94973912672957 40.80703873213202)
114,ADDRESS,NYPD,New York City Police Department,1003500012,MANHATTAN,NEW YORK,2015-09-06T03:00:40.000,03 MANHATTAN,Urinating in Public,2015-09-06 00:36:14,STANTON STREET,EAST HOUSTON STREET,N/A,2015-09-06T08:36:14.000,Precinct,188 SUFFOLK STREET,10002,,,,40.7212480727,"{u'type': u'Point', u'coordinates': [-73.984916616742, 40.72124807266]}",Street/Sidewalk,-73.9849166167,PHONE,MANHATTAN,Unspecified,2015-09-06T03:00:40.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,SUFFOLK STREET,31470324,988431,202047,00:36:14,"(-73.98491661674248, 40.72124807265955)",POINT (-73.98491661674248 40.72124807265955)
